director,TV-MA,TV-14,PG-13,PG,R,TV-PG,G,TV-Y,TV-Y7,TV-G
David Oyelowo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brian Andrew Mendoza,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Drake Doremus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mani Ratnam,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paakhi Tyrewala,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Steve Brill,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ferdinando Cito Filomarino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Carlos Medina,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inma Torrente,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julián Gaviria,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steven Yamamoto,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Charles Uwagbai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julián Hernández,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Marcello,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Jonathan Teplitzky,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Dustin Hoffman,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adze Ugah,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quoc Bao Tran,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bejoy Nambiar,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Priyadarshan,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karthik Narain,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasanth Sai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karthik Subbaraj,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arvind Swamy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rathindran R Prasad,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarjun,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gautham Vasudev Menon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayode Kasum,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Just Philippot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirk DeMicco,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Jeffords,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
